MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
empirisme	empiricism	Empirismus	Q83368	https://www.wikidata.org/wiki/Q83368	empirisme	empiricism	Empirismus	DEL
encyclopédie	encyclopedia	Enzyklopädie	Q5292	https://www.wikidata.org/wiki/Q5292	encyclopédie	encyclopedia	Enzyklopädie	DEL
énergie	energy	Energie	Q11379	https://www.wikidata.org/wiki/Q11379	énergie	energy	Energie	DEL
enfance	childhood	Kindheit	Q276258	https://www.wikidata.org/wiki/Q276258	Enfance	childhood	Kindheit	DEL
enthousiasme	enthusiasm	Enthusiasmus	Q840407	https://www.wikidata.org/wiki/Q840407	enthousiasme	enthusiasm	Enthusiasmus	DEL
envie	envy	Neid	Q188739	https://www.wikidata.org/wiki/Q188739	envie	envy	Neid	Seklit
épicurisme	epicureanism	Epikureismus	Q179541	https://www.wikidata.org/wiki/Q179541	épicurisme	epicureanism	Epikureismus	DEL
érotisme	eroticism	Erotik	Q3519050	https://www.wikidata.org/wiki/Q3519050	érotisme	eroticism	Erotik	DEL
esclavage	slavery	Sklaverei	Q8463	https://www.wikidata.org/wiki/Q8463	esclavage	slavery	Sklaverei	DEL
Espagne	Spain	Spanien	Q29	https://www.wikidata.org/wiki/Q29	Espagne	Spain	Spanien	DEL
espèce	species	Spezies	Q7432	https://www.wikidata.org/wiki/Q7432	Espèce	species	Art	DEL
espoir	hope	Hoffnung	Q190507	https://www.wikidata.org/wiki/Q190507	espoir	hope	Hoffnung	Seklit
essai	essay	Essay	Q35760	https://www.wikidata.org/wiki/Q35760	Essai	essay	Essay	DEL
esthétique	aesthetics	Ästhetik	Q35986	https://www.wikidata.org/wiki/Q35986	esthétique	aesthetics	Ästhetik	DEL
état	state	Staat	Q7275	https://www.wikidata.org/wiki/Q7275	état	state	Staat	DEL
état de nature	state of nature	Naturzustand	Q1130390	https://www.wikidata.org/wiki/Q1130390	état de nature	state of nature	Naturzustand	Seklit
être humain	human	Mensch	Q5	https://www.wikidata.org/wiki/Q5	être humain	human	Mensch	Seklit
Europe	europe	Europa	Q46	https://www.wikidata.org/wiki/Q46	europe	europe	Europa	DEL
exotisme	exoticism	Exotismus	Q368949	https://www.wikidata.org/wiki/Q368949	exotisme	exoticism	Exotismus	Seklit
fable	fable	Fabel	Q693	https://www.wikidata.org/wiki/Q693	fable	fable	Fabel	DEL
famille	family	Familie	Q8436	https://www.wikidata.org/wiki/Q8436	famille	family	Familie	DEL
fanatisme	fanaticism	Fanatismus	Q489750	https://www.wikidata.org/wiki/Q489750	fanatisme	fanatacism	Fanatismus	DEL
féminisme	feminism	Feminismus	Q7252	https://www.wikidata.org/wiki/Q7252	féminisme	feminism	Feminismus	DEL
femme de lettres	woman of letters	Schriftstellerinnen	Q381353	https://www.wikidata.org/wiki/Q381353	femme de lettres	woman of letters	Briefkorrespondentin	DEL
femme fatale	femme fatale	Femme fatale	Q222573	https://www.wikidata.org/wiki/Q222573	femme fatale	femme fatale	Femme fatale	Seklit
féodalité	feudalism	Feudalismus	Q37739	https://www.wikidata.org/wiki/Q37739	féodalité	feudalism	Feudalismus	DEL
fête	party	Fest	Q200538	https://www.wikidata.org/wiki/Q200538	fête	party	Fest	DEL
finance	finance	Finanzwesen	Q43015	https://www.wikidata.org/wiki/Q43015	Finance	finance	Finanzen	DEL
foire	fair	Jahrmarkt	Q288514	https://www.wikidata.org/wiki/Q288514	Foire	fair	Jahrmarkt	DEL
folie	insanity	Wahnsinn	Q505619	https://www.wikidata.org/wiki/Q505619	folie	insanity	Wahnsinn	DEL
franc-maçonnerie	freemasonry	Freimaurerei	Q41726	https://www.wikidata.org/wiki/Q41726	franc-maçonnerie	freemasonry	Freimaurerei	DEL
France	France	Frankreich	Q142	https://www.wikidata.org/wiki/Q142	France	France	Frankreich	DEL
fuite	escape	Flucht	Q50388354	https://www.wikidata.org/wiki/Q50388354	échapper	escape	Flucht	Seklit
