DEL komplett + Topic Modeling	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (de)	Wikidata Label (en)
"religion "	Q9174	https://www.wikidata.org/wiki/Q9174	religion	Religion	religion
"République des Lettres "	Q449359	https://www.wikidata.org/wiki/Q449359	"République des Lettres "	Res publica literaria	Republic of Letters
"rêve "	Q36348	https://www.wikidata.org/wiki/Q36348	"rêve "	Traum	dream
"révolution "	Q10931	https://www.wikidata.org/wiki/Q10931	"révolution "	Revolution	revolution
"rhétorique "	Q81009	https://www.wikidata.org/wiki/Q81009	"rhétorique "	Rhetorik	rhetoric
rire	Q170579	https://www.wikidata.org/wiki/Q170579	rire	Lachen	laughter
"Rococo "	Q122960	https://www.wikidata.org/wiki/Q122960	Rococo	Rokoko	Rococo
"roman "	Q8261	https://www.wikidata.org/wiki/Q8261	roman	Roman	novel
"roman noir "	Q1940294	https://www.wikidata.org/wiki/Q1940294	roman noir	Roman noir	Novel noir
ruine	Q109607	https://www.wikidata.org/wiki/Q109607	ruine	Ruine	ruins
"rumeur "	Q878352	https://www.wikidata.org/wiki/Q878352	rumeur	Gerücht	rumor
"Russie "	Q159	https://www.wikidata.org/wiki/Q159	Russie	Russland	Russia
